report_id,date,house,scope,fy,metric,value,unit,direction,summary,source_page
2026-01-29_상상인증권_SK온,2026-01-29,상상인증권,북미ESS,2026,수요,,,1,미국의 풍부한 ESS 설치수요를 고려할 때 2026년 회사가 목표한 20GW ESS 수주잔고 확보가 일정부분 가능하다는 판단이다.,1
2026-01-29_상상인증권_SK온,2026-01-29,상상인증권,북미EV,2026,보조금축소,,,-1,미국 전기차 보조금 축소에 따른 물량 감소가 배터리 외형 축소의 주된 요인으로 작용하고 있다.,1
2026-02-26_KB증권_LGES,2026-02-26,KB증권,북미ESS,2026,설치량 성장률,,%,2,"전력망 부족을 이유로 설치량 감소를 전망했던 시장조사기관들이 2026년 미국 ESS 설치 전망치를 재차 상향했고, 실제로는 전년대비 +10~40% 성장이 나올 것으로 기대(시장 컨센서스를 상회할 가능성).",3
2026-02-26_KB증권_LGES,2026-02-26,KB증권,북미ESS,2026,UPS/BBU 시장 M/S,4,%,2,학습형 AI데이터센터 등장으로 밀리초 단위 전력 공급이 가능한 UPS(무정전)/BBU(백업) 전지 수요가 늘며 ESS 내 UPS/BBU 시장 점유율이 M/S 4%까지 빠르게 확대.,1
2026-02-26_KB증권_LGES,2026-02-26,KB증권,글로벌EV수요,2026,"EV+ESS 장기 성장률(2030~2050년, DCF 영구성장률)",4.5,%,1,장기적으로 ESS 시장이 시장 기대치를 상회할 것으로 전망해 DCF에 적용하는 EV+ESS 장기 성장률(영구성장률)을 4.4%에서 4.5%로 상향.,1
2026-03-18_미래에셋증권_LGES,2026-03-18,미래에셋증권,북미ESS,2026,생산능력,60,Gwh,2,북미 ESS 수요 증가 및 수주 확보가 가속화되는 상황을 반영해 26년 말 기준 LGES의 북미 ESS 생산능력 전망치를 47Gwh에서 60Gwh로 상향 조정했다.,1
2026-03-18_미래에셋증권_삼성SDI,2026-03-18,미래에셋증권,북미ESS,2026,성장률,,,2,26년부터 삼성SDI의 주요 성장축인 북미 ESS는 추가 수주 확보 등을 통해 견조한 성장세가 지속될 것으로 판단.,1
2026-03-18_미래에셋증권_삼성SDI,2026-03-18,미래에셋증권,유럽EV,2026,EV판매·생산기조,,,1,유럽 OEM들은 26~27년 중 CO2 규제 회피와 EV 보조금 확대로 인해 EV 판매 및 생산 기조를 약화시키기 어려운 구간이라고 판단.,1
2026-03-18_미래에셋증권_삼성SDI,2026-03-18,미래에셋증권,중국경쟁,2026,경쟁강도,,,1,고출력 하이엔드 원통형에서 중국 경쟁사들의 글로벌 시장 진입이 상대적으로 더딘 것으로 판단.,1
2026-03-23_NH투자증권_LGES,2026-03-23,NH투자증권,유럽EV,2026,판매량,,%,2,"테슬라 유럽 판매가 26년 1,2월 12개월만에 y-y 플러스 전환됐고 중국산 EV 최저가격제 도입에 따른 가격경쟁 완화, 스탠다드형 모델 가격 인하, FSD 승인 확대(4/10 네덜란드, 하반기 유럽 확대)로 판매 회복이 가속화될 전망",1
2026-03-24_한화투자증권_LGES,2026-03-24,한화투자증권,북미ESS,2026,Capa,60,GWh,2,미국 ESS 수요 급성장에 힘입어 동사는 2026년 말까지 미국 내 60GWh 규모의 ESS Capa를 확보할 전망이며 기확보된 수주잔고로 높은 가동률이 예상된다,1
2026-03-24_한화투자증권_LGES,2026-03-24,한화투자증권,유럽EV,2028,가동률,,%,2,EU IAA의 탈중국 세부내용이 강력하게 구체화될 경우 동사 유럽 공장 가동률이 2025년 40%대에서 2028년 60~80% 수준까지 회복 가능하다,1
2026-03-24_한화투자증권_삼성SDI,2026-03-24,한화투자증권,유럽EV,2028,가동률,60,%,2,유럽 산업가속화법(IAA)에 따른 탈중국 세부지침이 구체화될 경우 2025년 40% 수준인 유럽 배터리 공장 가동률이 2028년 60% 이상으로 회복될 가능성이 높다.,1
2026-03-25_다올투자증권_LGES,2026-03-25,다올투자증권,북미ESS,2026,사업규모,,,2,빅테크 업체들의 2026년 AI 데이터센터향 Capex가 평균 두 배 가까이 증가하고 중국산 ESS 수입금지·관세 확대(현행 50% 육박)에 힘입어 2027~28년까지 미국 ESS 시장 확장 페이스가 뚜렷하게 지속되는 구조다.,1
2026-03-25_다올투자증권_LGES,2026-03-25,다올투자증권,유럽EV,2026,판매량,,,1,최근 글로벌 EV업체의 유럽·중국 판매량이 반등하기 시작하며 원통형(소형) 전지 사업의 동반 회복세가 나타나고 있다.,1
2026-03-30_교보증권_LGES,2026-03-30,교보증권,글로벌ESS,2026,성장률,,,2,"전력 수요 증가, AI데이터센터 확산, 재생에너지 연계 수요가 맞물리며 ESS 시장이 빠르게 확대되는 구조적 성장 국면.",1
2026-03-30_교보증권_LGES,2026-03-30,교보증권,북미EV,2026,수요,,,-1,북미 중심의 EV 수요 회복이 지연되고 주요 고객사 가동률도 낮은 수준을 유지 중이나 바닥 통과 국면으로 해석.,1
2026-03-30_교보증권_삼성SDI,2026-03-30,교보증권,유럽EV,2026,수요,,,-2,유럽 OEM 중심 EV 수요 부진이 지속되는 상황.,1
2026-03-30_교보증권_삼성SDI,2026-03-30,교보증권,로봇,2026,수요,,,1,AI 데이터센터 전력 인프라 투자 확대와 휴머노이드향 고출력 배터리 수요 확대 기대.,1
2026-03-31_신영증권_LGES,2026-03-31,신영증권,북미ESS,2026,CAPA,60,GWh,2,2026년 연말 북미 ESS CAPA가 60GWh(직전 추정 대비 +10GWh)로 확대되며 북미 ESS 시장 선점 효과 기대,1
2026-03-31_신영증권_LGES,2026-03-31,신영증권,유럽EV,2026,등록대수 증가율,29,%,1,테슬라의 2월 EU 등록 대수가 전년 대비 29% 증가하며 유럽 EV 수요 회복세 확인,1
2026-04-01_상상인증권_삼성SDI,2026-04-01,상상인증권,유럽EV,2026,EV침투율,,%,1,"유럽 완성차시장 내 EV 침투율은 증가추세이나, 주요 고객사향 수주물량에 기반한 xEV 출하 증가는 상반기 중 기대하기 어려운 상황.",1
2026-04-02_IBK투자증권_삼성SDI,2026-04-02,IBK투자증권,유럽EV,2026,정책수혜,,,2,"3월 공개된 유럽 산업가속화법(IAA, Industrial Accelerator Act) 초안이 중국보다 한국에 유리한 법안으로, 유럽 시장 내 한국 배터리 기업들의 수혜가 전망됨",1
2026-04-02_신한투자증권_LGES,2026-04-02,신한투자증권,북미ESS,2026,생산능력,57,GWh,2,2026년말 북미 ESS 생산능력을 수요 호조와 점유율 확대를 반영해 기존 50GWh에서 57GWh로 상향 조정,1
2026-04-02_신한투자증권_LGES,2026-04-02,신한투자증권,메탈가격,2026,리튬가격,,,2,타이트한 리튬 수급에 따른 가격 강세로 배터리 판가 방향성이 긍정적이라고 판단,1
2026-04-02_유안타증권_삼성SDI,2026-04-02,유안타증권,북미ESS,2026,BESS 수요 성격 변화,,,2,"AI 데이터센터의 실시간 부하 변동 심화로 BESS가 비상용 백업을 넘어 전력 품질 유지의 핵심 동적 버퍼로 재정의되며, 유지보수 효율(단순화된 SCM)이 북미 온사이트 전력 시장에서의 수주 경쟁력으로 부상하고 있다.",1
2026-04-07_상상인증권_삼성SDI,2026-04-07,상상인증권,북미ESS,2028,수요증가율,30,%,2,"북미 ESS 장기 수요가 기대치인 +30% YoY 수준을 상회할 것으로 전망되며, 이에 따라 2028년 이후 미국 내 ESS향 셀 출하량 및 이익 증분을 반영했다.",1
2026-04-08_NH투자증권_LGES,2026-04-08,NH투자증권,유럽EV,2026,판매량,,%,2,"테슬라의 26년 1,2월 유럽 판매가 12개월만에 y-y 플러스 전환됐고 3월 판매는 더 가속화되고 있으며, 4/10 네덜란드 FSD 승인 확보 시 하반기 유럽 내 FSD 확대에 따른 추가 성장 가능성도 열려 있음.",1
2026-04-08_iM증권_LGES,2026-04-08,iM증권,북미ESS,2026,수요전망,,,2,"신재생 발전 투자 확대와 AI 데이터센터 증설 두 축에 힘입어 미국 ESS 수요는 우호적 환경을 이어가고 있으며, PFE 규제로 비중국 공급망 업체의 전략적 가치가 부각되고 있다.",1
2026-04-08_iM증권_LGES,2026-04-08,iM증권,북미EV,2026,판매증감률,-30,%,-2,미국 EV 보조금 종료 이후 판매량이 5개월 연속 30%대 역성장을 기록 중이며 상반기 회복이 어려울 전망이다.,1
2026-04-08_iM증권_LGES,2026-04-08,iM증권,유럽EV,2026,수요전망,,,1,유럽 EV 수요는 LFP·미드니켈 중심으로 점진적인 회복세를 보이고 있다.,1
2026-04-08_iM증권_LGES,2026-04-08,iM증권,K배터리,2026,밸류에이션,,,1,지난 3년여간 이어진 국내 셀·소재 업체 EPS 컨센서스 하향 조정 흐름이 마무리 국면에 진입하고 있어 부정적 요인보다 긍정적 변화에 주목할 시점이다.,1
2026-04-08_교보증권_삼성SDI,2026-04-08,교보증권,유럽EV,2026,수요,,,-2,유럽 OEM 중심의 EV 수요 부진이 지속되며 중대형(EV) 사업부 구조조정으로 이어지고 있다.,1
2026-04-08_다올투자증권_LGES,2026-04-08,다올투자증권,유럽EV,2026,판매량,,,2,"글로벌 EV업체의 유럽 판매량이 3월 들어 급반등했고, CO2 규제 유예 2년차 진입으로 유럽 완성차업체들의 EV 차량 공급 확대가 본격화될 전망이다.",1
2026-04-08_다올투자증권_LGES,2026-04-08,다올투자증권,메탈가격,2026,리튬가격,,,1,리튬가격이 반등하며 배터리 업종에 대한 투자심리 회복이 시작되고 있다.,1
2026-04-08_메리츠증권_LGES,2026-04-08,메리츠증권,글로벌EV수요,2026,센티먼트,,,1,"이란 무력충돌에 따른 에너지 안보 위기(WTI 113달러/배럴, 사우디 5월 OSP +19.50달러/배럴)로 에너지 자립도가 낮은 아시아/EU의 에너지 전환 정책 중요성이 환기되며 재생에너지 및 EV 센티먼트가 개선 중이나, 펀더멘털 개선 여부 확인이 향후 과제.",1
2026-04-08_메리츠증권_LGES,2026-04-08,메리츠증권,유럽EV,2026,침투율,,,1,아시아 및 EU 시장에서 EV 침투율이 상대적으로 개선되는 차별화된 흐름.,1
2026-04-08_메리츠증권_LGES,2026-04-08,메리츠증권,북미EV,2026,침투율,,,-1,미국 EV 시장은 26년 11월 중간선거 이후에나 점진적 변화 가능성을 모색할 것으로 전망.,1
2026-04-08_삼성증권_LGES,2026-04-08,삼성증권,북미ESS,2027,수요,135,GWh,2,2027년 북미 ESS 수요는 135GWh로 예상되며 강한 성장세가 지속될 전망.,1
2026-04-08_삼성증권_LGES,2026-04-08,삼성증권,북미ESS,2027,LGES 시장점유율,43,%,2,"동사의 2026년 북미 ESS 생산능력이 58GWh(작년 10월 전망 30GWh 대비 상향)로 확대되며, 2027년 동사의 북미 ESS 시장점유율은 43%까지 급증할 전망.",1
2026-04-08_신영증권_LGES,2026-04-08,신영증권,북미ESS,2026,CAPA,60,GWh,2,연말 북미 ESS 배터리 CAPA를 60GWh로 확대하는 신규 라인 증설을 가속화하고 있음,1
2026-04-08_신한투자증권_LGES,2026-04-08,신한투자증권,북미ESS,2026,생산능력,57,GWh,2,북미 중심 ESS 수요 호조 속 LG에너지솔루션의 생산능력을 26년 기준 57GWh로 확대하며 실적 성장이 본격화될 전망이다.,1
2026-04-08_신한투자증권_LGES,2026-04-08,신한투자증권,메탈가격,2026,가격방향성,,,1,타이트한 리튬 수급에 따른 가격 강세로 배터리 판가 방향성은 긍정적인 상황이다.,1
2026-04-08_한화투자증권_LGES,2026-04-08,한화투자증권,K배터리,2026,턴어라운드,,,2,"이차전지 업종은 뚜렷한 턴어라운드 국면에 진입했으며, 미국 EV 시장 부진은 이미 주가에 선반영되었고 ESS가 그 공백을 빠르게 메우는 중이다",1
2026-04-08_한화투자증권_LGES,2026-04-08,한화투자증권,유럽EV,2028,성장률,,,1,유럽 EV 시장의 회복세는 완만하나 지난 3월 발표된 유럽 IAA 영향으로 2028년부터 강력한 반등이 예상된다,1
2026-04-09_LS증권_LGES,2026-04-09,LS증권,글로벌EV수요,2026,성장률,18,%,-1,'26년 EV향 글로벌 이차전지 수요 성장률을 18%로 추정했으나 중국 EV 수요 위축을 반영해 기존 가정 대비 하향 조정될 가능성이 커졌다.,1
2026-04-09_LS증권_LGES,2026-04-09,LS증권,글로벌이차전지수요,2026,성장률,19,%,-1,"'26년 전체 이차전지 수요 성장률을 19%로 추정, 수요의 63%('25년)가 여전히 EV향이라 EV 수요 둔화에 민감하게 노출된다.",1
2026-04-09_LS증권_LGES,2026-04-09,LS증권,중국EV수요,2026,1~2월 YoY 역성장률,-31,%,-2,"중국 EV 시장은 취득세 감면 변경으로 1~2월 판매가 31% 역성장, 이차전지 수요의 62%(EV) 중 61%가 중국向이라 전체 수요 전망에 미치는 영향이 크다.",1
2026-04-09_흥국증권_LGES,2026-04-09,흥국증권,북미EV,2026,수요,,,-2,미국 EV 수요 급감으로 Ultium Cells 생산이 중단되며 최소 상반기까지 재가동 계획이 불분명해 북미 EV전지 실적 부진이 지속될 전망이다.,1
2026-04-09_흥국증권_LGES,2026-04-09,흥국증권,유럽EV,2026,수요,,,1,유럽은 양호한 EV 수요 환경 속 중저가 배터리 공급 효과로 판매량 회복이 점진적으로 나타나고 있다.,1
2026-04-09_흥국증권_LGES,2026-04-09,흥국증권,북미ESS,2026,성장,,,2,북미 ESS 생산 라인 Ramp up 효과가 가시화되며 판매량이 QoQ +83.1% 증가하는 등 성장이 본격화되고 있다.,1
2026-05-04_DS투자증권_LGES,2026-05-04,DS투자증권,북미ESS,2026,성장률,,%,1,북미 ESS 가동 본격화(얼티엄셀 2공장 10GWh ESS 전환 포함)로 2Q26 생산량 확대가 예상되나 초기 램프업 비용이 단기 수익성에 부담을 준다.,1
2026-05-04_DS투자증권_LGES,2026-05-04,DS투자증권,46파이,2026,수주잔고,440,GWh,2,46시리즈 수주잔고가 25년말 300GWh에서 26년 4월 440GWh로 확대되며 테슬라 등 글로벌 OEM의 46시리즈 관심도가 높아지고 있다.,1
2026-05-04_IBK투자증권_LGES,2026-05-04,IBK투자증권,북미ESS,2026,CAPA,60,GWh,2,"LGES 글로벌 ESS CAPA는 60GWh(중국 7, 한국 1, 미국 49, 폴란드 3)이며 미국 49GWh는 홀란드17·STL12·Honda10·랜싱10GWh로 구성, 2026년 말 북미 ESS 생산 Capa 50+GWh 구축 목표.",1
2026-05-04_IBK투자증권_LGES,2026-05-04,IBK투자증권,북미EV수요,2026,수요,,,-1,북미 EV 수요는 2026년 상반기 내 부진할 것으로 전망.,1
2026-05-04_IBK투자증권_LGES,2026-05-04,IBK투자증권,유럽EV,2026,수요,,,1,2Q26 유럽향 EV 수요를 중심으로 판매가 증가할 것으로 전망.,1
2026-05-04_교보증권_LGES,2026-05-04,교보증권,북미ESS,2026,수요,,,2,2Q26 북미 ESS 수요가 견조하여 LGES의 분기 매출 QoQ 10% 성장을 견인할 것으로 전망.,1
2026-05-04_다올투자증권_LGES,2026-05-04,다올투자증권,북미ESS,2026,AMPC대상물량,23,GWh,2,연간 AMPC 대상 ESS 물량은 2025년 5GWh에서 2026년 23GWh로 급성장할 전망이다.,1
2026-05-04_다올투자증권_LGES,2026-05-04,다올투자증권,북미ESS,2026,성장률,20,%,2,북미 지역내 ESS 수요는 2030년까지 연평균 20% 성장 전망이며 중국 업체의 시장 진입이 제한되어 있어 공급 부족이 지속될 것으로 예상된다.,5
2026-05-04_다올투자증권_LGES,2026-05-04,다올투자증권,북미EV,2026,수요,,,-1,북미 EV 수요는 약세가 지속되고 있으나 3월 소폭이나마 판매 증가가 나타나 회복 여부를 모니터링 중이다.,5
2026-05-04_메리츠증권_LGES,2026-05-04,메리츠증권,북미EV,2026,판매량,,,1,에너지 대전환 시점을 맞이하며 북미 전기차 판매량 반등 개연성이 마련되고 있다.,1
2026-05-04_메리츠증권_LGES,2026-05-04,메리츠증권,유럽EV,2026,판매량,,,1,에너지 대전환 시점을 맞이하며 EU 전기차 판매량 반등 개연성이 마련되고 있다.,1
2026-05-04_미래에셋증권_LGES,2026-05-04,미래에셋증권,글로벌EV수요,2026,수요,,,2,미국-이란 전쟁에 따른 유가 상승으로 글로벌 EV 구매심리가 개선될 것으로 판단.,1
2026-05-04_미래에셋증권_LGES,2026-05-04,미래에셋증권,북미ESS,2026,수요,,,2,에너지 자립을 위한 국가별 정책 유동성 확대로 ESS 수요 예상치가 상향 조정될 것으로 판단.,1
2026-05-04_미래에셋증권_LGES,2026-05-04,미래에셋증권,유럽EV,2026,출하량,,,1,EV 부진을 주도하던 유럽 향 출하량이 개선 국면에 진입한 것으로 파악.,1
2026-05-04_신한투자증권_LGES,2026-05-04,신한투자증권,북미ESS,2026,설치량 성장률,84,%YoY,2,미국 3월 누적 유틸리티용 ESS 설치량이 전년동기대비 84% 성장하며 수요 고성장세 지속.,1
2026-05-04_신한투자증권_LGES,2026-05-04,신한투자증권,북미ESS,2026,매출 성장률,267,%,2,북미 ESS 생산능력이 2026년말 50GWh 이상으로 확대되며 연간 큰 폭의 외형 성장(+267%) 가능할 전망.,1
2026-05-04_신한투자증권_LGES,2026-05-04,신한투자증권,유럽EV,2026,판매량,,,1,고전압 미드니켈 및 LFP 공급 확대로 유럽 판매량 회복이 예상되며 상저하고 흐름 전망.,1
2026-05-04_키움증권_LGES,2026-05-04,키움증권,북미ESS,2026,CAPA확충,50,GWh,2,"중동 전쟁 등으로 에너지 안보 중요성이 부각되는 가운데, 북미 유휴 CAPA의 EV→ESS 빠른 라인 전환을 통해 2026년 중 북미 지역 내 50GWh 이상의 ESS CAPA 확충이 예상되며 연중 90GWh 신규 ESS 수주 확보 계획도 유효하다.",1
2026-05-04_하나증권_LGES,2026-05-04,하나증권,북미ESS,2028,이익전망,,,2,ESS 시장 확대와 발빠른 CAPA 증설을 근거로 AMPC 고객사 공유를 감안하더라도 2028년 ESS 관련 이익 추정치를 상향 조정했다.,1
2026-05-04_하나증권_LGES,2026-05-04,하나증권,북미EV,,,,,-2,미국 전기차 보조금 폐지 및 GM과의 배터리 JV 가동 중단으로 GM향 북미 EV 비즈니스 부진이 2분기에도 지속될 전망이다.,1
2026-05-04_한화투자증권_LGES,2026-05-04,한화투자증권,유럽EV,2026,가동률/수요회복,,,2,"유럽 시장은 고전압 미드니켈 및 LFP 제품을 필두로 가동률 회복세가 뚜렷하고, 유럽 IAA 수혜에 따른 중장기 회복 가시성도 확보됐다",1
2026-05-04_현대차증권_LGES,2026-05-04,현대차증권,유럽EV,2026,판매,,,1,고유가 여파로 유럽 전기차 판매 호조가 기대된다.,1
2026-05-04_현대차증권_LGES,2026-05-04,현대차증권,북미EV,2026,수요,,,1,미국 중고 전기차 판매 강세 등으로 미국 전기차 수요 개선 여지가 있다.,1
2026-05-04_현대차증권_LGES,2026-05-04,현대차증권,북미ESS,2026,성장률,,,2,"동사는 미국향 ESS 리딩 기업으로 성장할 전망이며, ESS도 중요한 전력기기로서 미국 성장성이 부각될 시 국내 전력기기 업체와 유사한 밸류에이션 프리미엄이 기대된다.",1
2026-05-06_대신증권_LGES,2026-05-06,대신증권,북미ESS,2030,수요,,GWh,2,미국 BESS 설치 수요는 2026~2030년 GWh 기준 CAGR +20%로 구조적 성장이 지속될 것으로 전망.,4
2026-05-06_유안타증권_LGES,2026-05-06,유안타증권,유럽EV,2026,수요,,,1,"유럽 정책 모멘텀을 고려하면 대부분 소형 EV, PHEV 중심의 EV 수요가 기대된다고 언급했다.",1
2026-05-06_유안타증권_삼성SDI,2026-05-06,유안타증권,유럽EV,2026,정책모멘텀,,,2,"EU EV 및 BESS 정책 모멘텀이 5월 말을 시작으로 하반기~2027년까지 예정되어 있으며, IAA Made in EU 조항(cell·CAM·BMS 요건) 입법 절차(5~6월), Battery Booster 첫 공모(2~3분기), EU 배터리 규정 실사 가이드라인 발표(7월), IAA 합의(4분기 내) 등이 순차적으로 진행될 전망이다.",1
