report_id,date,house,company,issue,stance_score,summary,source_page
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,LFP,3,"실리콘음극재·하이망간양극재·전고체 등 여러 신기술을 강조하지만 가장 중요한 건 LFP이며, 개발 완료 시 중국 업체 점유율을 가져올 핵심 제품군으로 고객사향 LFP 준비 동향을 주목한다.",69
2023-05-23_SK증권_산업,2023-05-23,SK증권,SK온,LFP,5,"LFP 배터리 시제품을 공개했으며 NCM에서는 경쟁사 대비 안정성·경험·수율에서 뒤처지지만, LFP는 국내 업체 모두 초행길로 2035년 국내 1위 배터리 기업이 되기 위한 답안이라고 판단한다.",133
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,LFP,3,국내 경쟁사처럼 LFP 제품 개발에 매진 중이며 양산화 성공 시 향후 중국 점유율을 가져올 수 있는 요인으로 적극적인 시장 공략이 요구된다.,81
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,AMPC,6,"기대보다 전기차용 배터리 수요가 빠르게 늘며 AMPC 반영 시점이 앞당겨졌고, 국내 1위 생산능력을 기반으로 더 큰 AMPC 수혜가 예상돼 수익성 향상 효과가 극대화될 것으로 본다.",68
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,AMPC,-4,"국내 두 경쟁사와 달리 아직 AMPC에 따른 이익 증분이 없으며 2025년부터 AMPC 실적 기여가 시작될 전망으로, 전기차 모멘텀과 AMPC 효과에 대한 기대치가 상대적으로 낮게 반영돼 있다.",85
2023-05-23_SK증권_산업,2023-05-23,SK증권,SK온,AMPC,7,"AMPC를 포함한 영업이익은 24년 1.6조원(흑자전환), 25년 3.9조원으로 급증할 전망이며, AMPC 효과 극대화가 국내 3사 중 가장 가파른 실적 성장의 핵심 투자포인트다.",132
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,ESS,6,"국내 ESS 1위 사업자로 매출이 20년 1.3조원→22년 2.1조원→23년 2.8조원(+30%)으로 경쟁사를 압도하고 있으며, 서구권에서 ESS 성장이 본격화되면 수혜 효과가 가장 클 기업으로 판단한다.",81
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,ESS,3,"현재 증설 계획으로는 2025년 기준 전사 Capa 내 ESS 비중이 5%에도 못 미쳐, ESS 시장이 개화될 경우 배터리 쇼티지가 심화될 수 있는, 아직 전망치와 주가에 반영되지 않은 성장동력으로 판단한다.",69
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,북미투자,6,"GM(얼티엄셀즈)·혼다·스텔란티스·현대차 등과의 JV를 통해 북미에 대규모 장기공급계약형 캐파를 국내 3사 중 가장 공격적으로 확보했으며, 향후 일본 자동차 업체향 수주 확대도 기대한다.",35
2023-05-23_SK증권_산업,2023-05-23,SK증권,삼성SDI,북미투자,-4,"국내 3사 중 유일하게 전기차 배터리 수주 경쟁에서 보수적인 행보를 보여 단기 성장률이 낮아졌고 AMPC 반영 시점도 경쟁사 대비 뒤로 밀렸으나, 신규 고객사와의 계약이 확정될 경우 2025년부터 성장률이 가장 높아질 잠재력이 있다.",81
2023-05-23_SK증권_산업,2023-05-23,SK증권,LGES,밸류에이션,-4,"목표주가는 25년 EPS에 글로벌 Peer 평균 PER 33배를 적용해 산출했으나 현 주가는 23F PER 75배로 절대적/상대적 고평가 구간이며, 전례 없는 업황을 고려해 중장기 실적 기준으로 밸류에이션 부담을 완화해 접근한다.",70
2023-05-23_SK증권_산업,2023-05-23,SK증권,코스모신소재,밸류에이션,-5,"목표주가는 23E PER 255배 수준으로 절대적 밸류에이션 부담이 매우 크지만, 고정비 규모가 작은 후발주자의 가파른 실적 레버리지 효과가 이를 상쇄할 수 있다고 본다.",102
2023-05-23_SK증권_산업,2023-05-23,SK증권,산업전체,수급밸런스,8,"ESS 수요를 반영한 배터리 수급모델상 국내 3사 공급이 2026년부터 EV+ESS 수요를 따라가지 못해 쇼티지가 심화되며(2030년 -1,068GWh, 2035년 -2,567GWh), 공급자 우위가 장기간 지속될 것으로 전망한다.",60
2023-05-23_SK증권_산업,2023-05-23,SK증권,SKC,동박 수익성,4,"1H23 국내 산업용 전력비 인상에 따른 동박 수익성 저하가 지속되나, 3Q23 말레이시아 공장 램프업(국내 대비 4배 이상 높은 OPM 가능)을 계기로 하반기부터 본격적인 실적 개선이 전망된다.",126
2023-05-23_SK증권_산업,2023-05-23,SK증권,코스모신소재,증설투자여력,5,"양극재 Capa를 현재 2만톤에서 26년 10만톤, 중장기 15~20만톤까지 확대할 계획이며, 국내 배터리 3사 모두를 고객사로 확보 중으로 고정비 규모가 작은 회사가 경험할 가장 가파른 실적 레버리지가 기대된다.",102
2023-07-06_대신증권_산업,2023-07-06,대신증권,LGES,북미 EV 배터리 대장주 지위,7,"GM/Ford/Stellantis/현대기아 등과의 다수 JV로 북미 캐파 비중이 22년 8%에서 26년 48%까지 확대되며 북미 EV 배터리 대장주 지위 공고, 목표주가 75만원 유지(Upside 31.8%).",52
2023-07-06_대신증권_산업,2023-07-06,대신증권,LGES,2Q23 실적 눈높이 하향,-2,"유럽 고객사(VW 등) 수요 둔화로 2Q23 영업이익 컨센서스 대비 -6% 하회 전망, 다만 3Q23 유럽향 수요 회복과 북미 판매량 증가로 이연 수요 반영 기대.",52
2023-07-06_대신증권_산업,2023-07-06,대신증권,삼성SDI,북미 사업가치 재평가(Rerating) 필요,6,"국내 경쟁사 대비 상대적으로 뒤처졌던 북미 진출이 STL/GM JV로 가속화되며 25년부터 AMPC 세액공제 실적 반영 예정, 국내 경쟁사(60배) 대비 밸류에이션 매력(23년 PER 25배)도 보유해 매수 접근 필요.",60
2023-07-06_대신증권_산업,2023-07-06,대신증권,삼성SDI,CTP 개발 상대적 지연,-3,"LGES/SKOn 대비 CTP 개발이 늦어 25년까지 CTP 개발, 26년부터 CTC(셀투섀시) 개발을 목표로 설정한 단계.",11
2023-07-06_대신증권_산업,2023-07-06,대신증권,LGES,CTP 상용화 로드맵,5,"22년 9월 셀 블록에 파우치 셀을 꽂는 형식의 CTP 배터리 팩 개발을 언급했고 25~26년 파우치 기반 CTP 상용화 시점으로 제시, TP(Thermal Propagation) 솔루션으로 연기~화염 전이 최대 79분 지연 기술도 확보.",9
2023-07-06_대신증권_산업,2023-07-06,대신증권,SK온,S-PACK 부분적 CTP 1차 개발,3,"22년초 부분적 CTP 기술을 적용한 'S-PACK'을 1차 개발, 모듈 수를 기존 10개에서 4개로 줄여 셀 탑재량을 높였으나 구체적 양산 시점은 미정.",11
2023-07-06_대신증권_산업,2023-07-06,대신증권,SK온,LFP 배터리 개발 착수,2,LFP 배터리 시제품 개발 및 양산을 계획 중인 초기 단계로 국내 3사 중 가장 후발주자.,21
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,LGES,북미 CAPA/AMPC 수혜 및 유럽·북미 셀 점유율,7,"국내 셀 3사 중 배터리 CAPA를 가장 공격적으로 증설 중이며 GM·Honda·현대차 JV로 안정적 수주잔고(2H22 385조원→1H23 440조원) 확보, 유럽·중국제외 글로벌 점유율 1위(1H23 유럽 39.3%), IRA AMPC 최대 수혜(3년(23~25F)간 연결기준 5.6조원)로 Top Pick 제시(목표주가 750,000원 유지).",84
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,삼성SDI,프리미엄 배터리(P5·46파이) 중심 수익성 개선,4,"유럽 OEM향 P5 매출 비중이 2Q23 40%에서 연말 50% 이상으로 증가하며 수익성 개선 지속 전망, 46파이(P6) 배터리는 26년 GM향 양산 준비 중. 다만 1H23 유럽 배터리 출하량이 YoY -9.3%로 역성장하는 등 LGES·CATL 대비 상대적으로 낮은 성장률(목표주가 900,000원 유지).",90
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,SK온,Hyundai-Kia 의존도 하락 및 물량 대체,-6,"북미·유럽 모두 메인 고객사인 Hyundai-Kia향 출하 비중이 하락(유럽 76%→57%, 북미 84%→50%)했으며 월 평균 5,000대 판매되는 Niro(BEV) 모델의 배터리가 CATL로 대체됨. 글로벌(중국제외) 성장률도 YoY+18.4%로 LGES(+59.3%)·CATL(+110.1%) 대비 부진.",19
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,포스코퓨처엠,그룹 수직계열화를 통한 리튬·니켈 내재화,6,"양극재 리튬 내재화율이 2024년 71%에서 2030년 91%까지 상승할 전망이며 리튬(30년 42.3만톤)·니켈(30년 24만톤)을 포스코 그룹 계열사를 통해 공급받아 원가 경쟁력을 확보, LGES향 노출도가 커 Top Pick(목표주가 470,000원으로 상향).",94
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,에코프로비엠,투자의견 상향에도 목표주가는 하향,1,"양극재 밸류체인 수직계열화(리튬가공-전구체-양극재-재활용)로 수익성 개선이 기대되어 투자의견은 Trading Buy로 상향했으나, ASP의 메탈 가격 하락 연동에 따른 수익성 둔화로 목표주가는 335,000원에서 300,000원으로 하향.",100
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,엘앤에프,출하량 부진 및 재고평가손실 우려,-4,"Tesla EV 공장 업그레이드로 3분기 생산량이 일시적으로 둔화되며 1H23 양극재 출하량이 기대치를 하회, 재고자산이 4Q22 1.2조원에서 2Q23 1.6조원으로 증가한 가운데 메탈 가격 하락분의 부정적 재고 영향으로 23년 실적은 예상보다 부진할 전망(영업이익 YoY -63.5%).",104
2023-11-21_유진투자증권_산업,2023-11-21,유진투자증권,LGES,LFP/LMFP 기술 경쟁력,5,"LFP·LMFP·실리콘 음극재 기술개발을 완료했고, 하이니켈 NCMA 프리미엄과 Mid-Ni/LFP/LMFP 중저가 제품 투트랙 전략으로 시장 전 영역을 공략할 계획이다.",69
