report_id,date,house,theme,direction,bull,bear,summary,source_page
2023-05-23_SK증권_산업,2023-05-23,SK증권,수급밸런스,8,"공급부족·JV 및 장기공급계약·우호적 가격계약·AMPC 세액공제라는 네 가지 극단적 동향이 공급자 우위를 뒷받침하며, ESS 수요까지 반영하면 2026년부터 한국 3사 공급이 수요를 따라가지 못해 쇼티지가 구조적으로 심화된다(2030년 -1,068GWh, 2035년 -2,567GWh 부족).","국내 3사간 캐파 경쟁이 과도해지면 공급과잉으로 전환되며 공급자 우위가 수요자 우위로 역전될 리스크가 있고, 일각에서는 2025년부터 전기차 배터리 공급과잉을 주장한다.",2차전지는 IT 하드웨어 역사상 경험한 적 없는 강도의 공급자 우위 시장이며 이 구조는 최소 2020년대 후반까지 지속될 것으로 판단한다.,33
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌EV수요,5,"글로벌 EV 출하량(중국 제외)은 23년 545만대에서 35년 3,444만대로 성장하며, 2030년 전기차 침투율 가정(41%)도 자본시장 눈높이(50%대) 대비 보수적이라 상방 여력이 있다.","배터리 공급 부족뿐 아니라 전기차 충전 인프라(그리드, 송배전망, 충전기) 부족이 더 큰 걸림돌이며, 2030년 전기차 보급률 50% 달성은 불가능하다고 판단한다.","전기차 시장은 스마트폰보다 7배 큰 시장으로 성장 잠재력이 가장 크지만, 침투율 가정은 보수적으로 접근했다.",49
2023-05-23_SK증권_산업,2023-05-23,SK증권,글로벌ESS,8,ESS 시장규모는 과소추정돼 있으며 22년 실제 시장규모(약 100GWh 추정)가 당초 전망(50GWh 미만)을 크게 상회했다. 메모리 산업의 서버처럼 전기차 다음의 2차전지 성장동력이며 2022~2030년 CAGR +27%로 EV(+25%)보다도 높다. 미국 NEM 3.0 등 정책이 티핑포인트가 될 것이다.,"ESS는 전기차용 배터리보다 수명·안정성 요구가 높아 원가 부담이 크고(NCM보다 저원가 LFP 필요), V2G 등 대체 기술이 상용화되면 ESS 신규 수요 성장이 예상보다 제한적일 수 있다.","ESS는 궁극적으로 전기차 배터리 시장을 압도할 수 있는 잠재력을 지녔으며, 성장률·시장전망치 모두 과소평가돼 있다고 판단한다.",55
2023-05-23_SK증권_산업,2023-05-23,SK증권,메탈가격,2,"소재·배터리 판가가 광물 시세와 연동 계약된 구조여서, 광물가격 하락에 따른 불확실성이 공급자가 아닌 고객사로 전가돼 공급자 우위 환경에서는 오히려 수익성이 개선되는 방향으로 흐를 것이다.","중국 전기차 성장 둔화와 단기 공급 증대로 향후 수개월간 리튬 등 광물 시세 하락세가 지속될 전망이며, 이는 소재·배터리 판가 동반 하락 압력으로 작용한다.",광물 시세는 하락 추세이나 판가 연동 계약 구조상 공급자(배터리·소재사)에 유리하게 작용해 수익성은 개선 방향으로 판단한다.,42
2023-05-23_SK증권_산업,2023-05-23,SK증권,LFP침투,4,"ESS는 출력보다 수명·안정성이 중요해 저원가 LFP가 선호되며, LGES·SK온·삼성SDI 모두 LFP 개발에 매진 중이다. LFP 양산화에 성공하면 향후 중국 업체 점유율을 가져와 시장 지배력을 키울 수 있는 핵심 제품군으로 평가한다.","LFP는 국내 배터리 3사 모두에게 초행길이며 아직 개발 완료까지 시간이 필요하고, NCM 대비 에너지밀도가 낮아 완성차 고객사향 채택에는 시간이 걸릴 수 있다.",LFP는 ESS 시장 개화 및 중국과의 점유율 경쟁에서 국내 배터리 3사에게 가장 중요한 신기술 과제로 판단한다.,54
2023-05-23_SK증권_산업,2023-05-23,SK증권,K배터리경쟁력,3,"한국의 배터리 셀·소재 업체는 2025년 2024년 대비 성장률이 상승하는 반면, 중국 CATL·BYD 등은 자국 침투율 상승 둔화로 성장세가 둔화돼 방향성이 차별화되며, 한국에 반사수혜가 명확하다고 판단한다.","국내 3사는 미국·유럽·일본의 IT 기업들과 달리 근면하고 헌신적이라는 강점이 있으나, 과거 가전·디스플레이·스마트폰 산업에서처럼 국내 업체간 경쟁이 격화되며 중국에 점유율을 뺏긴 전례가 반복될 위험이 있다.","한국 배터리 산업은 중국 대비 성장률 방향성에서 차별화되고 있으나, 과거 IT 산업의 반복된 국내 경쟁 심화 패턴을 경계해야 한다고 본다.",25
2023-05-23_SK증권_산업,2023-05-23,SK증권,중국경쟁,-3,"미중분쟁 심화로 중국 배터리 기업들의 미국 진출길이 막혀 공급 제약 효과가 발생했고, 현재 미국 배터리 산업에서는 한국 기업이 IRA 보조금(AMPC)을 바탕으로 중국 대비 원가 우위를 확보했다.","중국 경쟁사들은 자국 지방정부의 직접 보조금을 통해 훨씬 낮은 ASP로 생산·공급·판매가 가능하며, 향후 미중분쟁이 완화될 경우 중국 업체와의 가격 전면전이 불가피하다.","현재는 미중분쟁으로 한국이 반사수혜를 누리고 있으나, 이는 정책 변수에 기반한 것이어서 지속가능성에 유의해야 한다고 판단한다.",65
2023-05-23_SK증권_산업,2023-05-23,SK증권,관세정책,6,"미국은 IRA를 통해 셀 1kWh당 35달러(모듈 포함 45달러)의 AMPC 세액공제를 지급하며 중국 외 배터리 기업의 자국 내 생산을 지원한다. 이는 IT 산업에서 처음 보는 형태의 미국 자국투자 유인책으로, 공급자 우위를 심화시키는 정책 지원으로 평가한다.","우려국가(FEOC) 정의, 핵심광물 요건 강화(25년 이후 부가가치 50% 이상 요건 상향 가능성), 예산 한도 등 세부 지침이 아직 확정되지 않아 정책 불확실성이 존재한다.",IRA/AMPC는 한국 배터리 기업에 실질적 이익 증분과 원가 경쟁력을 제공하는 핵심 정책 변수로 판단한다.,37
2023-07-06_대신증권_산업,2023-07-06,대신증권,글로벌EV수요,7,"글로벌 EV 배터리 수요는 21년 301GWh에서 30년 3,614GWh로 연평균 +30%대 고성장, EV 침투율도 8%(21년)에서 52%(30년)까지 확대 전망.",,글로벌 EV/배터리 수요의 구조적 고성장 추세에는 이견이 없다는 판단.,47
2023-07-06_대신증권_산업,2023-07-06,대신증권,북미EV,8,"IRA 세액공제와 AMPC 공급 확대 효과로 미국 EV 시장은 23년 174만대(YoY+77%)에서 30년 1,428만대로 확대, 23~30년 연평균 +41% 고성장 전망.",완성차의 대규모 신규 JV 발주 속도는 20~23년 연 11%에서 23~40년 연 4%로 크게 둔화 불가피.,"북미 EV/배터리 시장은 IRA 힘입어 구조적 고성장 국면이나 신규 셀 수주 자체의 증가 속도는 둔화되며, 향후 성장 축은 소재로 이동할 전망.",22
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽EV,5,"유럽 EV 판매는 21년 237만대에서 30년 1,770만대로 확대, 침투율도 15%에서 75%까지 상승 전망.",중국 LFP 배터리 업체들의 해외 진출 1순위 타겟 시장으로 유럽이 지목되어 국내 3사의 유럽 점유율 침식 우려.,유럽은 고성장 지속되나 중국 LFP 업체의 진출 리스크에 가장 먼저 노출되는 지역.,14
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국EV,-2,"중국은 여전히 가장 큰 EV 배터리 시장(30년 1,122GWh)으로 성장 지속.","CATL·BYD 등 로컬 업체가 시장을 사실상 독점하고 있어 국내 3사의 실질적 수혜는 제한적, 오히려 CATL 등 중국 업체의 기술·원가 경쟁력이 K배터리를 위협하는 진앙.",중국은 K배터리 입장에서 수요처가 아닌 경쟁 위협의 근원지.,4
